0 	  0.446050 
1 	  0.419115 
2 	  0.392834 
3 	  0.367350 
4 	  0.342892 
5 	  0.319655 
6 	  0.298714 
7 	  0.279097 
8 	  0.261764 
9 	  0.245689 
10 	  0.232648 
11 	  0.220571 
12 	  0.211167 
13 	  0.202410 
14 	  0.197037 
15 	  0.191914 
16 	  0.189549 
17 	  0.187148 
18 	  0.187822 
19 	  0.188036 
20 	  0.190904 
21 	  0.192934 
22 	  0.197974 
23 	  0.201768 
24 	  0.208177 
25 	  0.212871 
26 	  0.215778 
27 	  0.216952 
28 	  0.216732 
29 	  0.215337 
30 	  0.213114 
31 	  0.210339 
32 	  0.207317 
33 	  0.204141 
34 	  0.201092 
35 	  0.198326 
36 	  0.196015 
37 	  0.193874 
38 	  0.192206 
39 	  0.191061 
40 	  0.190508 
41 	  0.190525 
42 	  0.191085 
43 	  0.192081 
44 	  0.193472 
45 	  0.195017 
46 	  0.196602 
47 	  0.198017 
48 	  0.199266 
49 	  0.200058 
